Fondsposition per,"17.Sept.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"2887","TS FINANCIAL HOLDING","Finanzwesen","Aktien","104.414.325,26","0,23","104.414.325,26","75.572.979,00","1,38","Taiwan","Taiwan Stock Exchange","TWD"
"2382","QUANTA COMPUTER","IT","Aktien","103.181.118,17","0,22","103.181.118,17","9.563.000,00","10,79","Taiwan","Taiwan Stock Exchange","TWD"
"9618","JD.COM CLASS A","Zyklische Konsumgüter ","Aktien","102.687.487,97","0,22","102.687.487,97","7.672.858,00","13,38","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2345","ACCTON TECHNOLOGY","IT","Aktien","98.122.794,64","0,21","98.122.794,64","1.738.000,00","56,46","Taiwan","Taiwan Stock Exchange","TWD"
"FSR","FIRSTRAND LTD","Finanzwesen","Aktien","96.805.077,07","0,21","96.805.077,07","16.697.875,00","5,80","Südafrika","Johannesburg Stock Exchange","ZAR"
"KFH","KUWAIT FINANCE HOUSE","Finanzwesen","Aktien","96.329.938,68","0,21","96.329.938,68","38.582.017,00","2,50","Kuwait","Kuwait Stock Exchange","KWD"
"1180","THE SAUDI NATIONAL BANK","Finanzwesen","Aktien","93.723.476,17","0,20","93.723.476,17","8.766.739,00","10,69","Saudi-Arabien","Saudi Stock Exchange","SAR"
"IKSA","ISHARES MSCI SAUDI ARABIA CAPPED","Finanzwesen","Aktien","92.772.635,91","0,20","92.772.635,91","14.414.642,00","6,44","Irland","London Stock Exchange","USD"
"M&M","MAHINDRA AND MAHINDRA LTD","Zyklische Konsumgüter ","Aktien","92.520.115,62","0,20","92.520.115,62","2.885.145,00","32,07","Indien","National Stock Exchange Of India","INR"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Finanzwesen","Aktien","92.436.844,25","0,20","92.436.844,25","2.921.032,00","31,65","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"034020","DOOSAN ENERBILITY LTD","Industrie","Aktien","91.405.660,04","0,20","91.405.660,04","1.478.813,00","61,81","Korea","Korea Exchange (Stock Market)","KRW"
