Holdings details

Morningstar Total Stock Market ETF (VTI)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B3N5WD9,Douglas Dynamics Inc,PLOW,<0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,"$28,689,161.01","698,543"
,BRJW0G1,Liberty Capital Corp,GLIBK,<0.01%,Integrated Telecommunication Services,US,---,"$28,684,773.67","1,101,989"
,BWNNCN6,Csquare Inc,CSQR,<0.01%,Internet Services & Infrastructure,US,---,"$28,669,501.68","1,477,048"
,B0ZN8Z4,Liquidity Services Inc,LQDT,<0.01%,Diversified Support Services,US,---,"$28,659,334.72","687,604"
,BYX38K9,NextDecade Corp,NEXT,<0.01%,Oil & Gas Storage & Transportation,US,---,"$28,558,752.82","3,787,633"
,BT3CTW0,Beta Technologies Inc,BETA,<0.01%,Aerospace & Defense,US,---,"$28,525,317.00","1,419,170"
,BP48CK8,Evolv Technologies Holdings Inc,EVLV,<0.01%,Electronic Equipment & Instruments,US,---,"$28,501,362.31","5,470,511"
,BLFDQC4,Asana Inc,ASAN,<0.01%,Application Software,US,---,"$28,449,625.68","2,772,868"
,BMVNDH9,Tyra Biosciences Inc,TYRA,<0.01%,Biotechnology,US,---,"$28,420,864.16","1,135,472"
,BMCWKZ2,Maravai LifeSciences Holdings Inc,MRVI,<0.01%,Life Sciences Tools & Services,US,---,"$28,314,626.92","3,706,103"
,2485876,Southside Bancshares Inc,SBSI,<0.01%,Regional Banks,US,---,"$28,311,276.72","897,062"
,BKLCWZ3,Castle Biosciences Inc,CSTL,<0.01%,Health Care Services,US,---,"$28,164,813.12","852,704"
,BN47P80,Centerspace,CSR,<0.01%,Multi-Family Residential REITs,US,---,"$28,106,452.87","535,463"
,2657794,Oil-Dri Corp of America,ODC,<0.01%,Household Products,US,---,"$28,082,578.04","312,098"
,2648710,First Community Bankshares Inc,FCBC,<0.01%,Regional Banks,US,---,"$28,044,579.42","578,358"
,BKVKB49,Cadre Holdings Inc,CDRE,<0.01%,Aerospace & Defense,US,---,"$27,994,709.64","943,854"
,BN89V40,Ardelyx Inc,ARDX,<0.01%,Biotechnology,US,---,"$27,990,397.26","7,404,867"
,BKPH157,USA TODAY Co Inc,TDAY,<0.01%,Publishing,US,---,"$27,952,760.00","4,444,000"
,BD02SG8,Pulse Biosciences Inc,PLSE,<0.01%,Health Care Equipment,US,---,"$27,913,621.96","554,612"
,B2QXCJ9,Quanex Building Products Corp,NX,<0.01%,Building Products,US,---,"$27,854,392.80","1,449,240"
,B3R0638,SunCoke Energy Inc,SXC,<0.01%,Steel,US,---,"$27,780,035.14","2,689,258"
,B019BK2,Farmers National Banc Corp,FMNB,<0.01%,Regional Banks,US,---,"$27,778,432.08","1,779,528"
,BM8BPB4,Stagwell Inc,STGW,<0.01%,Advertising,US,---,"$27,723,251.64","3,193,923"
,B1Q1RR9,Employers Holdings Inc,EIG,<0.01%,Property & Casualty Insurance,US,---,"$27,670,953.02","563,678"
,BN2QTD2,Excelerate Energy Inc,EE,<0.01%,Oil & Gas Storage & Transportation,US,---,"$27,626,471.32","697,286"
,BSKPBK7,T1 Energy Inc,TE,<0.01%,Semiconductors,US,---,"$27,621,448.15","6,207,067"
,BJXSDM6,Northeast Bank,NBN,<0.01%,Regional Banks,US,---,"$27,597,709.35","218,769"
,BMXC0N9,Fluence Energy Inc,FLNC,<0.01%,Electrical Components & Equipment,US,---,"$27,359,872.18","2,530,978"
,BVBFJH0,Wolfspeed Inc,WOLF,<0.01%,Semiconductors,US,---,"$27,348,542.80","998,122"
,BCRY5K3,Fox Factory Holding Corp,FOXF,<0.01%,Automotive Parts & Equipment,US,---,"$27,342,613.08","1,338,356"
,BLR7B41,Amalgamated Financial Corp,AMAL,<0.01%,Regional Banks,US,---,"$27,275,350.63","567,409"
,BMZ4LN0,Olema Pharmaceuticals Inc,OLMA,<0.01%,Biotechnology,US,---,"$27,235,754.70","2,611,290"
,BVY4KF9,Lucid Group Inc,LCID,<0.01%,Automobile Manufacturers,US,---,"$27,209,276.00","5,610,160"
,BYZG9Q9,Equity Bancshares Inc,EQBK,<0.01%,Regional Banks,US,---,"$27,165,720.24","550,359"
,BZ22CY6,Rapid7 Inc,RPD,<0.01%,Systems Software,US,---,"$26,946,475.82","2,001,967"
,BMCKSV8,Forum Energy Technologies Inc,FET,<0.01%,Oil & Gas Equipment & Services,US,---,"$26,676,070.89","325,437"
,2362515,First Financial Corp,THFF,<0.01%,Regional Banks,US,---,"$26,662,950.80","340,610"
,B0X46B1,Koppers Holdings Inc,KOP,<0.01%,Commodity Chemicals,US,---,"$26,654,919.39","581,097"
,BQT2053,NB Bancorp Inc,NBBK,<0.01%,Regional Banks,US,---,"$26,611,219.25","1,191,725"
,BP2C8W6,Five Star Bancorp,FSBC,<0.01%,Regional Banks,US,---,"$26,336,694.52","574,786"
,BSHT908,Flowco Holdings Inc,FLOC,<0.01%,Oil & Gas Equipment & Services,US,---,"$26,278,042.62","1,197,723"
,2618348,Mid Penn Bancorp Inc,MPB,<0.01%,Regional Banks,US,---,"$26,043,526.85","715,285"
,BMDBB99,Safehold Inc,SAFE,<0.01%,Other Specialized REITs,US,---,"$26,004,706.24","1,717,616"
,2568357,Marten Transport Ltd,MRTN,<0.01%,Cargo Ground Transportation,US,---,"$25,994,140.90","1,802,645"
,BD5G1Z5,Esquire Financial Holdings Inc,ESQ,<0.01%,Regional Banks,US,---,"$25,934,569.08","232,139"
,B8KHZT0,Beazer Homes USA Inc,BZH,<0.01%,Homebuilding,US,---,"$25,873,863.54","779,803"
,BNKCPP6,Sprinklr Inc,CXM,<0.01%,Application Software,US,---,"$25,832,042.52","3,146,412"
,2901714,Transcat Inc,TRNS,<0.01%,Trading Companies & Distributors,US,---,"$25,796,853.36","298,264"
,BP0TQC5,Candel Therapeutics Inc,CADL,<0.01%,Biotechnology,US,---,"$25,722,204.38","1,968,034"
,BYV2W40,Aclaris Therapeutics Inc,ACRS,<0.01%,Pharmaceuticals,US,---,"$25,672,261.45","4,243,349"
,BQD3J33,Rigel Pharmaceuticals Inc,RIGL,<0.01%,Biotechnology,US,---,"$25,668,968.28","555,846"
,2028174,U-Haul Holding Co,UHAL,<0.01%,Cargo Ground Transportation,US,---,"$25,658,060.10","380,966"
,2082675,Barrett Business Services Inc,BBSI,<0.01%,Human Resource & Employment Services,US,---,"$25,657,377.60","745,854"
,B3V8JL7,PennyMac Mortgage Investment Trust,PMT,<0.01%,Mortgage REITs,US,---,"$25,619,114.24","2,748,832"
,BMDW0L7,Backblaze Inc,BLZE,<0.01%,Internet Services & Infrastructure,US,---,"$25,616,347.65","1,812,905"
,BMYH4Y2,Pattern Group Inc,PTRN,<0.01%,Broadline Retail,US,---,"$25,592,117.85","1,234,545"
,BZ0QMB7,Arbutus Biopharma Corp,ABUS,<0.01%,Biotechnology,US,---,"$25,575,498.76","5,034,547"
,2972721,Winnebago Industries Inc,WGO,<0.01%,Automobile Manufacturers,US,---,"$25,471,395.63","846,507"
,BZ0WN34,SI-BONE Inc,SIBN,<0.01%,Health Care Equipment,US,---,"$25,430,652.96","1,337,048"
,2838306,Standard Motor Products Inc,SMP,<0.01%,Automotive Parts & Equipment,US,---,"$25,417,961.48","673,859"
,BVVC874,Hemab Therapeutics Holdings Inc,COAG,<0.01%,Biotechnology,US,---,"$25,404,981.39","555,543"
,B01Y8Q2,Lightwave Logic Inc,LWLG,<0.01%,Electronic Components,US,---,"$25,397,331.75","4,677,225"
,BSPRWL6,Beta Bionics Inc,BBNX,<0.01%,Health Care Equipment,US,---,"$25,386,454.80","1,272,504"
,2597072,Mitek Systems Inc,MITK,<0.01%,Application Software,US,---,"$25,382,407.70","1,374,995"
,BNDQ9Y2,GCM Grosvenor Inc,GCMG,<0.01%,Asset Management & Custody Banks,US,---,"$25,325,266.05","1,836,495"
,BR4NQJ4,Adamas Trust Inc,ADAM,<0.01%,Mortgage REITs,US,---,"$25,319,315.06","2,599,519"
,2046176,Apogee Enterprises Inc,APOG,<0.01%,Building Products,US,---,"$25,298,693.28","647,688"
,BYVYKX1,SmartFinancial Inc,SMBK,<0.01%,Regional Banks,US,---,"$25,258,267.95","499,669"
,B847RJ0,Bloomin' Brands Inc,BLMN,<0.01%,Restaurants,US,---,"$25,135,893.40","2,440,378"
,BDF9YM2,Under Armour Inc,UA,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$25,131,143.35","5,097,595"
,BM9XCN0,F&G Annuities & Life Inc,FG,<0.01%,Life & Health Insurance,US,---,"$25,096,290.80","1,054,466"
,BPBLY59,Immix Biopharma Inc,IMMX,<0.01%,Biotechnology,US,---,"$24,980,344.85","1,780,495"
,B14TC70,Compass Diversified Holdings,CODI,<0.01%,Multi-Sector Holdings,US,---,"$24,933,590.60","2,156,885"
,BL95N25,Phibro Animal Health Corp,PAHC,<0.01%,Pharmaceuticals,US,---,"$24,894,285.24","659,626"
,BG0ZML1,BrightView Holdings Inc,BV,<0.01%,Environmental & Facilities Services,US,---,"$24,883,233.65","2,239,715"
,BDQYWV1,Varex Imaging Corp,VREX,<0.01%,Health Care Equipment,US,---,"$24,875,207.17","1,345,333"
,B019FW2,Orrstown Financial Services Inc,ORRF,<0.01%,Regional Banks,US,---,"$24,712,295.70","592,621"
,BLD0Z08,Achieve Life Sciences Inc,ACHV,<0.01%,Biotechnology,US,---,"$24,680,449.86","3,108,369"
,BMGCGK5,RUM Group Inc,RUM,<0.01%,Interactive Media & Services,US,---,"$24,618,594.56","2,747,611"
,2492412,Kopin Corp,KOPN,<0.01%,Semiconductors,US,---,"$24,597,364.68","5,539,947"
,BMN9870,Heritage Insurance Holdings Inc,HRTG,<0.01%,Property & Casualty Insurance,US,---,"$24,556,014.38","730,399"
,BMVV9R5,Annexon Inc,ANNX,<0.01%,Biotechnology,US,---,"$24,554,941.84","4,970,636"
,BY2ZKK0,CryoPort Inc,CYRX,<0.01%,Life Sciences Tools & Services,US,---,"$24,381,888.00","1,523,868"
,BNM6GH5,Sable Offshore Corp,SOC,<0.01%,Oil & Gas Exploration & Production,US,---,"$24,354,985.20","5,042,440"
,2696117,Papa John's International Inc,PZZA,<0.01%,Restaurants,US,---,"$24,273,788.36","1,033,807"
,BMFJJ97,Sana Biotechnology Inc,SANA,<0.01%,Biotechnology,US,---,"$24,193,862.28","6,251,644"
,BWFJDH3,Keel Infrastructure Corp,KEEL,<0.01%,Application Software,US,---,"$24,117,660.00","7,656,400"
,2596949,Financial Institutions Inc,FISI,<0.01%,Regional Banks,US,---,"$24,109,967.28","595,014"
,2626802,National Presto Industries Inc,NPK,<0.01%,Aerospace & Defense,US,---,"$24,108,691.23","158,913"
,BX7RSN3,Collegium Pharmaceutical Inc,COLL,<0.01%,Pharmaceuticals,US,---,"$24,067,521.77","977,957"
,B84KWJ4,United Parks & Resorts Inc,PRKS,<0.01%,Leisure Facilities,US,---,"$24,055,212.30","601,230"
,BMG97J2,Arteris Inc,AIP,<0.01%,Systems Software,US,---,"$24,047,060.84","1,099,043"
,BD9MTK0,Metrocity Bankshares Inc,MCBS,<0.01%,Regional Banks,US,---,"$23,972,664.68","688,474"
,BSJQPL0,Kestra Medical Technologies Ltd,KMTS,<0.01%,Health Care Equipment,US,---,"$23,875,091.00","927,188"
,2254010,Daktronics Inc,DAKT,<0.01%,Electronic Equipment & Instruments,US,---,"$23,824,080.63","1,219,871"
,2648055,Eagle Bancorp Inc,EGBN,<0.01%,Regional Banks,US,---,"$23,804,766.81","872,289"
,BNFWZS4,Amphastar Pharmaceuticals Inc,AMPH,<0.01%,Pharmaceuticals,US,---,"$23,784,380.28","1,055,676"
,2942025,Washington Trust Bancorp Inc,WASH,<0.01%,Regional Banks,US,---,"$23,763,688.13","607,301"
,2670036,PAR Technology Corp,PAR,<0.01%,Application Software,US,---,"$23,601,294.40","1,255,388"
,BDZDSJ9,Eastman Kodak Co,KODK,<0.01%,"Technology Hardware, Storage & Peripherals",US,---,"$23,596,817.84","2,627,708"
,BMDTR28,First Watch Restaurant Group Inc,FWRG,<0.01%,Restaurants,US,---,"$23,544,566.36","1,856,827"
,2638625,National Beverage Corp,FIZZ,<0.01%,Soft Drinks & Non-alcoholic Beverages,US,---,"$23,502,734.76","743,052"
,BW0TQY6,X-Energy Inc,XE,<0.01%,Heavy Electrical Equipment,US,---,"$23,396,149.80","1,268,084"
,B0PZN11,Under Armour Inc,UAA,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$23,199,261.12","4,603,028"
,2719456,RPC Inc,RES,<0.01%,Oil & Gas Equipment & Services,US,---,"$23,151,331.40","3,545,380"
,B3SWPT2,Ameresco Inc,AMRC,<0.01%,Construction & Engineering,US,---,"$23,033,445.40","1,041,295"
,BMFX8Y7,Janux Therapeutics Inc,JANX,<0.01%,Biotechnology,US,---,"$23,027,110.14","1,263,837"
,BFWGXV2,Marcus & Millichap Inc,MMI,<0.01%,Real Estate Services,US,---,"$22,959,578.72","725,192"
,BSQNQM2,BlackSky Technology Inc,BKSY,<0.01%,Research & Consulting Services,US,---,"$22,924,971.30","992,423"
,2986937,CEVA Inc,CEVA,<0.01%,Semiconductors,US,---,"$22,912,080.35","847,027"
,B603LG3,Vishay Precision Group Inc,VPG,<0.01%,Electronic Equipment & Instruments,US,---,"$22,908,269.44","370,624"
,BP4GNJ8,iRadimed Corp,IRMD,<0.01%,Health Care Equipment,US,---,"$22,835,935.08","264,366"
,BL0P090,Driven Brands Holdings Inc,DRVN,<0.01%,Specialized Consumer Services,US,---,"$22,831,661.16","1,838,298"
,2307732,Peapack-Gladstone Financial Corp,PGC,<0.01%,Regional Banks,US,---,"$22,815,816.48","511,107"
,BLLHH27,Sabre Corp,SABR,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$22,809,794.42","10,511,426"
,2492133,Independent Bank Corp/MI,IBCP,<0.01%,Regional Banks,US,---,"$22,715,025.00","622,500"
,BPDH477,NANO Nuclear Energy Inc,NNE,<0.01%,Heavy Electrical Equipment,US,---,"$22,590,180.19","1,235,111"
,BD3BX01,JBG SMITH Properties,JBGS,<0.01%,Office REITs,US,---,"$22,531,909.40","1,869,868"
,B3WNNP3,Green Dot Corp,GDOT,<0.01%,Consumer Finance,US,---,"$22,431,779.01","1,687,869"
,BKF9DQ8,Phreesia Inc,PHR,<0.01%,Health Care Technology,US,---,"$22,427,840.82","1,836,842"
,B292GM4,American Public Education Inc,APEI,<0.01%,Education Services,US,---,"$22,414,515.20","491,008"
,BKLXFX5,4D Molecular Therapeutics Inc,FDMT,<0.01%,Biotechnology,US,---,"$22,414,200.63","1,588,533"
,2086558,Cass Information Systems Inc,CASS,<0.01%,Transaction & Payment Processing Services,US,---,"$22,344,965.85","398,235"
,BLFBZ32,Zevra Therapeutics Inc,ZVRA,<0.01%,Pharmaceuticals,US,---,"$22,302,548.44","1,899,706"
,B84T2F7,HomeTrust Bancshares Inc,HTB,<0.01%,Regional Banks,US,---,"$22,296,633.48","480,117"
,2896809,Tootsie Roll Industries Inc,TR,<0.01%,Packaged Foods & Meats,US,---,"$22,130,021.16","541,606"
,2570501,Southern Missouri Bancorp Inc,SMBC,<0.01%,Regional Banks,US,---,"$22,098,709.05","300,295"
,BMNDK09,Theravance Biopharma Inc,TBPH,<0.01%,Pharmaceuticals,US,---,"$22,078,421.28","1,295,682"
,BSHZ3P9,PRA Group Inc,PRAA,<0.01%,Consumer Finance,US,---,"$22,004,720.40","1,169,220"
,2748869,Shore Bancshares Inc,SHBI,<0.01%,Regional Banks,US,---,"$22,004,542.56","958,386"
,BMFTC10,Dakota Gold Corp,DC,<0.01%,Gold,US,---,"$21,994,448.64","3,617,508"
,2186759,Capital City Bank Group Inc,CCBG,<0.01%,Regional Banks,US,---,"$21,952,944.32","434,884"
,BNBPMX1,Metallus Inc,MTUS,<0.01%,Steel,US,---,"$21,867,221.44","1,120,247"
,2577870,HealthStream Inc,HSTM,<0.01%,Health Care Technology,US,---,"$21,820,558.90","751,138"
,BMV9M81,MNTN Inc,MNTN,<0.01%,Advertising,US,---,"$21,785,420.90","1,656,686"
,BG88WS9,EverQuote Inc,EVER,<0.01%,Interactive Media & Services,US,---,"$21,770,101.92","855,743"
,2387002,Great Southern Bancorp Inc,GSBC,<0.01%,Regional Banks,US,---,"$21,762,190.80","278,040"
,2553814,Mesa Laboratories Inc,MLAB,<0.01%,Life Sciences Tools & Services,US,---,"$21,547,501.57","168,511"
,BLBLMD5,Array Technologies Inc,ARRY,<0.01%,Electrical Components & Equipment,US,---,"$21,535,097.48","4,872,194"
,B0BV2Y9,Lincoln Educational Services Corp,LINC,<0.01%,Education Services,US,---,"$21,529,588.12","855,707"
,2499026,LSI Industries Inc,LYTS,<0.01%,Electrical Components & Equipment,US,---,"$21,521,358.51","1,098,589"
,BTTQTR1,Hudson Pacific Properties Inc,HPP,<0.01%,Office REITs,US,---,"$21,498,961.23","1,710,339"
,B8X64T7,Mama's Creations Inc,MAMA,<0.01%,Packaged Foods & Meats,US,---,"$21,453,349.59","1,321,833"
,2836292,STAAR Surgical Co,STAA,<0.01%,Health Care Supplies,US,---,"$21,448,301.40","949,460"
,BN7JWR1,CTO Realty Growth Inc,CTO,<0.01%,Diversified REITs,US,---,"$21,423,183.32","1,003,898"
,BMQ89L5,Sweetgreen Inc,SG,<0.01%,Restaurants,US,---,"$21,311,540.88","3,062,003"
,BLNPMM4,Mission Produce Inc,AVO,<0.01%,Packaged Foods & Meats,US,---,"$21,274,912.32","1,672,556"
,BP81R42,Aura Biosciences Inc,AURA,<0.01%,Biotechnology,US,---,"$21,248,649.96","2,959,422"
,BDFCGV4,Manitowoc Co Inc/The,MTW,<0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,"$21,246,120.86","1,094,033"
,BMXZF55,Consensus Cloud Solutions Inc,CCSI,<0.01%,Application Software,US,---,"$21,198,379.50","554,206"
,BMWKK45,Carter Bankshares Inc,CARE,<0.01%,Regional Banks,US,---,"$21,136,296.72","676,578"
,2679141,Alerus Financial Corp,ALRS,<0.01%,Diversified Financial Services,US,---,"$21,123,741.10","642,059"
,2419530,Helen of Troy Ltd,HELE,<0.01%,Household Appliances,US,---,"$21,117,738.60","701,586"
,2782038,Mativ Holdings Inc,MATV,<0.01%,Commodity Chemicals,US,---,"$21,020,307.22","1,767,898"
,BK7FYL6,Accel Entertainment Inc,ACEL,<0.01%,Casinos & Gaming,US,---,"$20,979,016.44","1,802,321"
,BP4W0C8,indie Semiconductor Inc,INDI,<0.01%,Semiconductors,US,---,"$20,961,657.17","5,642,438"
,BYWVTY5,CytomX Therapeutics Inc,CTMX,<0.01%,Biotechnology,US,---,"$20,934,100.32","6,230,387"
,BJHVCH9,Clear Channel Outdoor Holdings Inc,CCO,<0.01%,Advertising,US,---,"$20,811,297.06","8,781,138"
,BNBV530,Invesco Mortgage Capital Inc,IVR,<0.01%,Mortgage REITs,US,---,"$20,760,948.25","2,840,075"
,BNRR231,Bowhead Specialty Holdings Inc,BOW,<0.01%,Property & Casualty Insurance,US,---,"$20,713,616.96","617,948"
,BKPG0T1,Janus International Group Inc,JBI,<0.01%,Building Products,US,---,"$20,633,773.60","4,160,035"
,BJMYWL7,Target Hospitality Corp,TH,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$20,612,241.44","1,112,972"
,BMHG0X7,Hippo Holdings Inc,HIPO,<0.01%,Property & Casualty Insurance,US,---,"$20,596,670.70","626,610"
,BN14T59,Franklin BSP Realty Trust Inc,FBRT,<0.01%,Mortgage REITs,US,---,"$20,558,142.90","2,456,170"
,BFXX5X8,Verra Mobility Corp,VRRM,<0.01%,Data Processing & Outsourced Services,US,---,"$20,420,798.23","4,609,661"
,BNK9G76,Community West Bancshares,CWBC,<0.01%,Regional Banks,US,---,"$20,398,223.45","786,665"
,BQFN254,Ceribell Inc,CBLL,<0.01%,Health Care Equipment,US,---,"$20,393,623.14","850,443"
,2618111,Bar Harbor Bankshares,BHB,<0.01%,Regional Banks,US,---,"$20,326,789.12","518,144"
,B3MZ6K5,Ironwood Pharmaceuticals Inc,IRWD,<0.01%,Biotechnology,US,---,"$20,321,307.00","4,781,484"
,BRK1S18,Verastem Inc,VSTM,<0.01%,Biotechnology,US,---,"$20,302,264.56","2,811,948"
,2449128,LightPath Technologies Inc,LPTH,<0.01%,Electronic Equipment & Instruments,US,---,"$20,211,817.62","2,009,127"
,BGV1W52,South Plains Financial Inc,SPFI,<0.01%,Regional Banks,US,---,"$20,117,650.40","461,414"
,BNHP503,PubMatic Inc,PUBM,<0.01%,Advertising,US,---,"$20,078,213.87","1,207,349"
,BJT16S6,Tronox Holdings PLC,TROX,<0.01%,Commodity Chemicals,US,---,"$20,064,292.88","3,792,872"
,BNW2543,Riley Exploration Permian Inc,REPX,<0.01%,Oil & Gas Exploration & Production,US,---,"$20,061,459.03","514,001"
,2918479,Gladstone Commercial Corp,GOOD,<0.01%,Diversified REITs,US,---,"$20,007,444.18","1,542,594"
,BNNTCT7,Enovix Corp,ENVX,<0.01%,Electrical Components & Equipment,US,---,"$19,931,616.64","5,896,928"
,BPLJ828,ADTRAN Holdings Inc,ADTN,<0.01%,Communications Equipment,US,---,"$19,913,020.50","2,569,422"
,2412012,ACNB Corp,ACNB,<0.01%,Regional Banks,US,---,"$19,847,686.04","305,396"
,BKBS530,Postal Realty Trust Inc,PSTL,<0.01%,Office REITs,US,---,"$19,825,966.65","845,457"
,BYXHTC0,Cars.com Inc,CARS,<0.01%,Interactive Media & Services,US,---,"$19,734,846.30","1,686,739"
,BNV0HC0,Root Inc/OH,ROOT,<0.01%,Property & Casualty Insurance,US,---,"$19,719,037.38","355,362"
,2956907,Peoples Financial Services Corp,PFIS,<0.01%,Regional Banks,US,---,"$19,676,427.12","286,536"
,2536882,LSB Industries Inc,LXU,<0.01%,Diversified Chemicals,US,---,"$19,578,873.82","1,834,946"
,2568090,Matthews International Corp,MATW,<0.01%,Specialized Consumer Services,US,---,"$19,571,737.16","942,308"
,BF321D7,Empire State Realty Trust Inc,ESRT,<0.01%,Office REITs,US,---,"$19,513,088.25","4,307,525"
,2583297,Methode Electronics Inc,MEI,<0.01%,Electronic Manufacturing Services,US,---,"$19,434,219.11","1,066,057"
,2801193,Miller Industries Inc/TN,MLR,<0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,"$19,389,698.42","346,121"
,BKDRF35,AdaptHealth Corp,AHCO,<0.01%,Health Care Distributors,US,---,"$19,351,428.46","3,461,794"
,BF7J9X0,Coastal Financial Corp/WA,CCB,<0.01%,Regional Banks,US,---,"$19,320,140.77","410,107"
,B6VRG58,Midland States Bancorp Inc,MSBI,<0.01%,Regional Banks,US,---,"$19,314,260.91","589,029"
,2910668,United States Antimony Corp,UAMY,<0.01%,Diversified Metals & Mining,US,---,"$19,255,493.00","3,953,900"
,BP2RPZ3,Hagerty Inc,HGTY,<0.01%,Insurance Brokers,US,---,"$19,245,060.10","1,446,997"
,BJLKVS6,Phathom Pharmaceuticals Inc,PHAT,<0.01%,Pharmaceuticals,US,---,"$19,213,382.76","2,007,668"
,BNYKJK9,Bowman Consulting Group Ltd,BWMN,<0.01%,Construction & Engineering,US,---,"$19,159,835.53","449,867"
,BP2NYN2,Sagimet Biosciences Inc,SGMT,<0.01%,Biotechnology,US,---,"$19,096,189.02","1,861,227"
,BT5HGR7,National Healthcare Properties Inc,NHP,<0.01%,Health Care REITs,US,---,"$19,056,490.86","1,186,581"
,B3M7R64,Summit Hotel Properties Inc,INN,<0.01%,Hotel & Resort REITs,US,---,"$19,053,490.95","3,257,007"
,B00CR04,AngioDynamics Inc,ANGO,<0.01%,Health Care Equipment,US,---,"$18,924,151.51","1,173,227"
,BJBZRJ4,HBT Financial Inc,HBT,<0.01%,Regional Banks,US,---,"$18,904,737.44","532,828"
,BS2F741,Neurogene Inc,NGNE,<0.01%,Biotechnology,US,---,"$18,879,445.44","520,956"
,2918996,Array Digital Infrastructure Inc,AD,<0.01%,Wireless Telecommunication Services,US,---,"$18,858,270.60","514,410"
,BYQLZ65,BlueLinx Holdings Inc,BXC,<0.01%,Trading Companies & Distributors,US,---,"$18,830,504.25","236,475"
,2251583,Daily Journal Corp,DJCO,<0.01%,Application Software,US,---,"$18,806,407.65","30,190"
,BL55Q42,Third Coast Bancshares Inc,TCBX,<0.01%,Regional Banks,US,---,"$18,779,677.40","421,069"
,BMW5LX6,Climb Bio Inc,CLYM,<0.01%,Biotechnology,US,---,"$18,764,598.78","1,366,686"
,2730877,Redwood Trust Inc,RWT,<0.01%,Mortgage REITs,US,---,"$18,746,578.62","4,057,701"
,B5Q3KZ2,Alpha & Omega Semiconductor Ltd,AOSL,<0.01%,Semiconductors,US,---,"$18,718,838.82","759,077"
,BK9TGC1,Park Aerospace Corp,PKE,<0.01%,Aerospace & Defense,US,---,"$18,709,523.80","574,970"
,BF2F1Q0,TPG RE Finance Trust Inc,TRTX,<0.01%,Mortgage REITs,US,---,"$18,700,160.91","2,419,167"
,BKTNTS0,Sprout Social Inc,SPT,<0.01%,Application Software,US,---,"$18,692,219.00","1,642,550"
,BMGWSJ8,Corsair Gaming Inc,CRSR,<0.01%,"Technology Hardware, Storage & Peripherals",US,---,"$18,662,958.90","1,536,046"
,2933353,VAALCO Energy Inc,EGY,<0.01%,Oil & Gas Exploration & Production,US,---,"$18,635,193.72","3,137,238"
,BNZGT62,Avalyn Pharma Inc,AVLN,<0.01%,Pharmaceuticals,US,---,"$18,561,101.20","534,440"
,BSB8D21,Aeva Technologies Inc,AEVA,<0.01%,Electronic Equipment & Instruments,US,---,"$18,502,540.56","1,181,516"
,BY3H7G0,Kearny Financial Corp/MD,KRNY,<0.01%,Regional Banks,US,---,"$18,484,772.88","1,872,824"
,BRXYZ91,Ramaco Resources Inc,METC,<0.01%,Steel,US,---,"$18,482,110.24","1,297,901"
,2414018,Heartland Express Inc,HTLD,<0.01%,Cargo Ground Transportation,US,---,"$18,458,831.88","1,493,433"
,BLP5GX1,Navient Corp,NAVI,<0.01%,Consumer Finance,US,---,"$18,452,623.89","1,940,339"
,BN7VBP8,BrightSpire Capital Inc,BRSP,<0.01%,Mortgage REITs,US,---,"$18,415,949.50","3,877,042"
,BJ0LT31,CorMedix Inc,CRMD,<0.01%,Pharmaceuticals,US,---,"$18,400,991.98","2,227,723"
,2320825,Ethan Allen Interiors Inc,ETD,<0.01%,Home Furnishings,US,---,"$18,394,946.35","777,799"
,BD8ZJW2,Yext Inc,YEXT,<0.01%,Application Software,US,---,"$18,322,916.99","2,706,487"
,BFMQPR2,Cannae Holdings Inc,CNNE,<0.01%,Multi-Sector Holdings,US,---,"$18,265,587.60","1,170,871"
,B5LYMC1,Chatham Lodging Trust,CLDT,<0.01%,Hotel & Resort REITs,US,---,"$18,226,859.14","1,398,838"
,2676692,Shenandoah Telecommunications Co,SHEN,<0.01%,Integrated Telecommunication Services,US,---,"$18,219,735.89","1,472,897"
,2564827,Marcus Corp/The,MCS,<0.01%,Movies & Entertainment,US,---,"$18,213,850.08","640,656"
,BVH8P19,Kailera Therapeutics Inc,KLRA,<0.01%,Biotechnology,US,---,"$18,178,329.40","1,180,411"
,BF16ZX9,Forestar Group Inc,FOR,<0.01%,Real Estate Development,US,---,"$18,161,807.07","642,441"
,BVV8ZS2,Cardinal Infrastructure Group Inc,CDNL,<0.01%,Construction & Engineering,US,---,"$18,122,788.60","490,070"
,BSRFQG1,REalloys Inc,ALOY,<0.01%,Diversified Metals & Mining,US,---,"$18,100,266.30","1,748,818"
,BRKFN59,Kimball Electronics Inc,KE,<0.01%,Electronic Manufacturing Services,US,---,"$18,049,884.36","764,178"
