Holdings details

Morningstar Total Stock Market ETF (VTI)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2914734,Union Pacific Corp,UNP,0.24%,Rail Transportation,US,---,"$5,672,983,530.69","18,867,807"
,2032067,Analog Devices Inc,ADI,0.24%,Semiconductors,US,---,"$5,605,796,829.60","15,479,640"
,2328915,NextEra Energy Inc,NEE,0.23%,Electric Utilities,US,---,"$5,456,612,185.84","66,269,276"
,2261203,Deere & Co,DE,0.23%,Agricultural & Farm Machinery,US,---,"$5,337,412,369.31","8,149,841"
,BYVYHH4,Welltower Inc,WELL,0.23%,Health Care REITs,US,---,"$5,299,889,426.56","22,434,344"
,2108601,Boeing Co/The,BA,0.22%,Aerospace & Defense,US,---,"$5,205,358,582.80","25,052,260"
,2684703,Pfizer Inc,PFE,0.22%,Pharmaceuticals,US,---,"$5,155,475,182.14","181,148,109"
,2685717,ConocoPhillips,COP,0.22%,Oil & Gas Exploration & Production,US,---,"$5,132,218,361.03","38,736,647"
,BMZBBT7,Blackrock Inc,BLK,0.22%,Asset Management & Custody Banks,US,---,"$5,131,305,929.84","4,440,344"
,B8KQN82,Eaton Corp PLC,ETN,0.21%,Electrical Components & Equipment,US,---,"$4,959,634,837.92","12,341,084"
,2954699,Western Digital Corp,WDC,0.21%,"Technology Hardware, Storage & Peripherals",US,---,"$4,935,144,029.45","10,953,599"
,BDRXDB4,Booking Holdings Inc,BKNG,0.21%,"Hotels, Resorts & Cruise Lines",US,---,"$4,902,713,093.08","24,625,612"
,BK6N347,Uber Technologies Inc,UBER,0.21%,Passenger Ground Transportation,US,---,"$4,894,028,324.70","64,693,038"
,B80NXX8,ServiceNow Inc,NOW,0.21%,Systems Software,US,---,"$4,848,836,261.79","32,764,621"
,2989301,TJX Cos Inc/The,TJX,0.20%,Apparel Retail,US,---,"$4,705,370,288.64","35,138,304"
,2931034,Vertex Pharmaceuticals Inc,VRTX,0.19%,Biotechnology,US,---,"$4,392,735,408.40","8,067,170"
,2126335,Bristol-Myers Squibb Co,BMY,0.18%,Pharmaceuticals,US,---,"$4,336,193,882.46","64,903,366"
,2250870,Danaher Corp,DHR,0.18%,Life Sciences Tools & Services,US,---,"$4,323,546,972.96","20,245,116"
,2636607,Newmont Corp,NEM,0.18%,Gold,US,---,"$4,276,849,847.82","33,927,097"
,2654461,Capital One Financial Corp,COF,0.18%,Consumer Finance,US,---,"$4,241,994,454.76","19,775,276"
,2871301,Intuitive Surgical Inc,ISRG,0.18%,Health Care Equipment,US,---,"$4,241,704,014.24","11,255,384"
,BHKD3S6,Dell Technologies Inc,DELL,0.18%,"Technology Hardware, Storage & Peripherals",US,---,"$4,239,198,922.85","9,296,285"
,B44WZD7,Prologis Inc,PLD,0.18%,Industrial REITs,US,---,"$4,215,689,837.04","30,129,287"
,2522096,Lockheed Martin Corp,LMT,0.18%,Aerospace & Defense,US,---,"$4,111,941,953.03","7,326,661"
,2705024,Progressive Corp/The,PGR,0.17%,Property & Casualty Insurance,US,---,"$4,043,944,235.84","18,543,398"
,BYV2325,S&P Global Inc,SPGI,0.17%,Financial Exchanges & Data,US,---,"$3,989,702,459.52","9,154,053"
,2671501,Parker-Hannifin Corp,PH,0.17%,Industrial Machinery & Supplies & Components,US,---,"$3,924,464,266.80","4,006,845"
,2842255,Starbucks Corp,SBUX,0.16%,Restaurants,US,---,"$3,848,167,706.25","36,218,049"
,2577609,CVS Health Corp,CVS,0.16%,Health Care Services,US,---,"$3,807,755,434.78","40,546,858"
,2008154,Adobe Inc,ADBE,0.16%,Application Software,US,---,"$3,760,546,449.65","12,843,835"
,B3BQMF6,Chubb Ltd,CB,0.16%,Property & Casualty Insurance,US,---,"$3,755,049,620.80","11,089,928"
,B4BNMY3,Accenture PLC,ACN,0.16%,IT Consulting & Other Services,US,---,"$3,702,348,344.64","19,510,689"
,BTN1Y11,Medtronic PLC,MDT,0.16%,Health Care Equipment,US,---,"$3,698,376,410.40","40,798,416"
,2224701,Corning Inc,GLW,0.16%,Electronic Components,US,---,"$3,654,262,040.83","24,569,771"
,2536763,Lowe's Cos Inc,LOW,0.16%,Home Improvement Retail,US,---,"$3,647,485,638.30","17,818,689"
,2065308,Automatic Data Processing Inc,ADP,0.15%,Human Resource & Employment Services,US,---,"$3,634,690,142.16","12,701,601"
,2692632,Altria Group Inc,MO,0.15%,Tobacco,US,---,"$3,634,390,967.04","53,072,298"
,2853688,Stryker Corp,SYK,0.15%,Health Care Equipment,US,---,"$3,550,570,616.00","10,965,320"
,B1Z77F6,Bank of New York Mellon Corp/The,BNY,0.15%,Asset Management & Custody Banks,US,---,"$3,517,248,752.64","21,808,338"
,BN134B7,Snowflake Inc,SNOW,0.15%,Internet Services & Infrastructure,US,---,"$3,468,183,611.86","10,464,302"
,B3K3L40,Marathon Petroleum Corp,MPC,0.15%,Oil & Gas Refining & Marketing,US,---,"$3,463,245,588.24","9,276,882"
,2352118,Freeport-McMoRan Inc,FCX,0.15%,Copper,US,---,"$3,460,258,776.10","45,686,015"
,2041364,Valero Energy Corp,VLO,0.14%,Oil & Gas Refining & Marketing,US,---,"$3,386,520,029.52","9,435,306"
,B5B2106,Fortinet Inc,FTNT,0.14%,Systems Software,US,---,"$3,382,378,907.42","19,788,094"
,BKF2SL7,Blackstone Inc,BX,0.14%,Asset Management & Custody Banks,US,---,"$3,382,222,987.20","23,612,280"
,2378534,McKesson Corp,MCK,0.14%,Health Care Distributors,US,---,"$3,381,483,281.28","3,819,504"
,2965839,CME Group Inc,CME,0.14%,Financial Exchanges & Data,US,---,"$3,287,718,931.50","11,515,653"
,BVLZX12,Equinix Inc,EQIX,0.14%,Data Center REITs,US,---,"$3,280,514,684.80","3,134,090"
,BL3LWS8,Vertiv Holdings Co,VRT,0.13%,Electrical Components & Equipment,US,---,"$3,158,054,037.60","12,206,455"
,2829601,Southern Co/The,SO,0.13%,Electric Utilities,US,---,"$3,156,089,640.00","35,864,655"
,B78C4Y8,Phillips 66,PSX,0.13%,Oil & Gas Refining & Marketing,US,---,"$3,141,658,519.40","12,740,930"
,2459020,Intuit Inc,INTU,0.13%,Application Software,US,---,"$3,123,322,680.70","8,692,799"
,BK9ZQ96,Trane Technologies PLC,TT,0.13%,Building Products,US,---,"$3,121,495,374.80","7,024,067"
,BKLJ8V2,Howmet Aerospace Inc,HWM,0.13%,Aerospace & Defense,US,---,"$3,114,278,378.25","12,713,935"
,BJXC5M2,Cloudflare Inc,NET,0.13%,Internet Services & Infrastructure,US,---,"$3,098,376,794.50","10,154,950"
,2692665,PNC Financial Services Group Inc/The,PNC,0.13%,Diversified Banks,US,---,"$3,057,273,106.41","12,758,307"
,2736035,US Bancorp,USB,0.13%,Diversified Banks,US,---,"$3,036,599,275.74","49,311,453"
,2365161,General Dynamics Corp,GD,0.13%,Aerospace & Defense,US,---,"$3,031,560,287.00","8,163,620"
,2044545,Comcast Corp,CMCSA,0.13%,Integrated Telecommunication Services,US,---,"$3,014,145,172.28","113,228,594"
,2160753,CSX Corp,CSX,0.13%,Rail Transportation,US,---,"$2,982,391,033.56","59,045,556"
,2302232,Cadence Design Systems Inc,CDNS,0.13%,Application Software,US,---,"$2,969,446,676.04","8,765,118"
,B7VD3F2,Duke Energy Corp,DUK,0.13%,Electric Utilities,US,---,"$2,965,913,175.54","24,734,494"
,2967181,Williams Cos Inc/The,WMB,0.12%,Oil & Gas Storage & Transportation,US,---,"$2,916,804,590.90","38,864,818"
,2567741,Marsh & McLennan Cos Inc,MRSH,0.12%,Insurance Brokers,US,---,"$2,906,829,515.20","15,315,224"
,2150204,Quanta Services Inc,PWR,0.12%,Construction & Engineering,US,---,"$2,894,998,514.32","4,768,648"
,BFSSDS9,Intercontinental Exchange Inc,ICE,0.12%,Financial Exchanges & Data,US,---,"$2,888,147,003.00","17,972,290"
,2779201,SLB Ltd,SLB,0.12%,Oil & Gas Equipment & Services,US,---,"$2,855,378,165.20","47,510,452"
,2595708,3M Co,MMM,0.12%,Industrial Conglomerates,US,---,"$2,848,113,866.72","16,575,184"
,BMH4FS1,Constellation Energy Corp,CEG,0.12%,Electric Utilities,US,---,"$2,831,819,186.88","10,306,144"
,2937667,Waste Management Inc,WM,0.12%,Environmental & Facilities Services,US,---,"$2,793,712,990.64","12,761,342"
,BMV3LG4,AppLovin Corp,APP,0.12%,Advertising,US,---,"$2,728,831,762.44","8,744,574"
,BN13P03,DoorDash Inc,DASH,0.12%,Restaurants,US,---,"$2,726,664,658.74","11,766,051"
,2313405,Emerson Electric Co,EMR,0.12%,Electrical Components & Equipment,US,---,"$2,713,741,453.20","17,802,030"
,BXCVG25,Space Exploration Technologies Corp,SPCX,0.11%,Alternative Carriers,US,---,"$2,696,169,559.86","18,763,794"
,BY7QL61,Johnson Controls International plc,JCI,0.11%,Building Products,US,---,"$2,680,079,892.48","19,387,152"
,2867719,Synopsys Inc,SNPS,0.11%,Application Software,US,---,"$2,674,990,870.05","6,085,195"
,BSPHGL4,Elevance Health Inc,ELV,0.11%,Managed Health Care,US,---,"$2,658,616,501.70","6,772,855"
,BP0TQN6,Robinhood Markets Inc,HOOD,0.11%,Investment Banking & Brokerage,US,---,"$2,635,383,620.71","25,144,391"
,2730190,Regeneron Pharmaceuticals Inc,REGN,0.11%,Biotechnology,US,---,"$2,616,507,552.00","3,274,400"
,B7FBFL2,American Tower Corp,AMT,0.11%,Telecom Tower REITs,US,---,"$2,601,529,634.90","14,806,657"
,B5BKPQ4,Motorola Solutions Inc,MSI,0.11%,Communications Equipment,US,---,"$2,560,276,342.10","5,275,657"
,B8CKK03,Mondelez International Inc,MDLZ,0.11%,Packaged Foods & Meats,US,---,"$2,532,657,479.22","40,803,246"
,2804211,Sherwin-Williams Co/The,SHW,0.11%,Specialty Chemicals,US,---,"$2,522,539,721.33","7,445,293"
,BKT9Y49,Datadog Inc,DDOG,0.11%,Application Software,US,---,"$2,491,999,386.64","10,512,991"
,B94Q9V0,T-Mobile US Inc,TMUS,0.11%,Wireless Telecommunication Services,US,---,"$2,482,580,852.96","13,758,484"
,2240202,Cummins Inc,CMI,0.11%,Construction Machinery & Heavy Transportation Equipment,US,---,"$2,474,704,361.60","4,384,664"
,B665KZ5,General Motors Co,GM,0.11%,Automobile Manufacturers,US,---,"$2,473,135,415.92","28,650,781"
,2517382,United Parcel Service Inc,UPS,0.11%,Air Freight & Logistics,US,---,"$2,473,062,604.25","23,726,975"
,2769503,Travelers Cos Inc/The,TRV,0.11%,Property & Casualty Insurance,US,---,"$2,470,796,318.93","6,752,101"
,2318024,EOG Resources Inc,EOG,0.10%,Oil & Gas Exploration & Production,US,---,"$2,453,727,917.76","16,926,931"
,2641894,Norfolk Southern Corp,NSC,0.10%,Rail Transportation,US,---,"$2,446,921,060.29","7,138,251"
,2648806,Northrop Grumman Corp,NOC,0.10%,Aerospace & Defense,US,---,"$2,435,817,216.00","4,513,280"
,2457552,Illinois Tool Works Inc,ITW,0.10%,Industrial Machinery & Supplies & Components,US,---,"$2,391,295,731.69","8,683,937"
,2252058,Moody's Corp,MCO,0.10%,Financial Exchanges & Data,US,---,"$2,381,546,038.08","4,719,297"
,BG1FRR1,KKR & Co Inc,KKR,0.10%,Asset Management & Custody Banks,US,---,"$2,348,585,127.20","21,405,260"
,2746711,Ross Stores Inc,ROST,0.10%,Apparel Retail,US,---,"$2,339,167,691.64","10,235,266"
,B65LWX6,O'Reilly Automotive Inc,ORLY,0.10%,Automotive Retail,US,---,"$2,338,566,470.40","26,335,208"
,2259101,Target Corp,TGT,0.10%,Consumer Staples Merchandise Retail,US,---,"$2,321,880,811.76","14,432,377"
,BHJ0775,Cigna Group/The,CI,0.10%,Health Care Services,US,---,"$2,320,995,173.28","8,406,966"
,BMGYYH4,Airbnb Inc,ABNB,0.10%,"Hotels, Resorts & Cruise Lines",US,---,"$2,311,767,356.80","12,617,440"
,2210614,Marriott International Inc/MD,MAR,0.10%,"Hotels, Resorts & Cruise Lines",US,---,"$2,290,972,097.28","6,703,453"
,BYVMW06,Hilton Worldwide Holdings Inc,HLT,0.10%,"Hotels, Resorts & Cruise Lines",US,---,"$2,287,792,719.48","7,233,441"
,2209106,Colgate-Palmolive Co,CL,0.10%,Household Products,US,---,"$2,283,454,878.12","25,422,566"
,2113434,Boston Scientific Corp,BSX,0.10%,Health Care Equipment,US,---,"$2,281,545,699.30","47,236,971"
,2304227,Ecolab Inc,ECL,0.10%,Specialty Chemicals,US,---,"$2,279,384,760.00","8,048,675"
,BYM9ZP2,Lumentum Holdings Inc,LITE,0.10%,Communications Equipment,US,---,"$2,261,746,844.28","2,472,503"
,2142784,FedEx Corp,FDX,0.10%,Air Freight & Logistics,US,---,"$2,233,744,777.20","6,822,678"
,BYVYWS0,Hewlett Packard Enterprise Co,HPE,0.09%,"Technology Hardware, Storage & Peripherals",US,---,"$2,202,756,437.12","42,166,088"
,2011602,Air Products and Chemicals Inc,APD,0.09%,Industrial Gases,US,---,"$2,189,872,646.72","7,076,432"
,2197137,Cintas Corp,CTAS,0.09%,Diversified Support Services,US,---,"$2,181,020,175.14","10,808,366"
,BM8JYX3,Warner Bros Discovery Inc,WBD,0.09%,Movies & Entertainment,US,---,"$2,159,323,348.86","75,686,062"
,BN7RHC5,Honeywell International Inc,HON,0.09%,Industrial Conglomerates,US,---,"$2,149,354,758.13","10,065,821"
,2359506,Arthur J Gallagher & Co,AJG,0.09%,Insurance Brokers,US,---,"$2,140,926,620.00","8,166,800"
,2026242,American Electric Power Co Inc,AEP,0.09%,Electric Utilities,US,---,"$2,116,047,676.05","17,283,735"
,2019952,Allstate Corp/The,ALL,0.09%,Property & Casualty Insurance,US,---,"$2,107,822,297.60","8,176,192"
,B11FJK3,TransDigm Group Inc,TDG,0.09%,Aerospace & Defense,US,---,"$2,082,750,273.90","1,777,485"
,2812452,Simon Property Group Inc,SPG,0.09%,Retail REITs,US,---,"$2,077,603,006.08","9,785,244"
,2665861,PACCAR Inc,PCAR,0.09%,Construction Machinery & Heavy Transportation Equipment,US,---,"$2,075,961,912.35","16,724,095"
,BLP1HW5,Aon PLC,AON,0.09%,Insurance Brokers,US,---,"$2,073,470,583.76","6,448,963"
,B03GQS4,Digital Realty Trust Inc,DLR,0.09%,Data Center REITs,US,---,"$2,072,707,908.31","11,168,209"
,2134781,United Rentals Inc,URI,0.09%,Trading Companies & Distributors,US,---,"$2,066,418,222.00","1,990,769"
,2754907,Royal Caribbean Cruises Ltd,RCL,0.09%,"Hotels, Resorts & Cruise Lines",US,---,"$2,061,579,787.20","7,671,280"
,B4MGBG6,HCA Healthcare Inc,HCA,0.09%,Health Care Facilities,US,---,"$2,045,337,689.25","4,935,065"
,BDHLTQ5,Baker Hughes Co,BKR,0.09%,Oil & Gas Equipment & Services,US,---,"$2,003,693,433.55","31,529,401"
,B55PZY3,Targa Resources Corp,TRGP,0.09%,Oil & Gas Storage & Transportation,US,---,"$2,002,975,197.65","6,820,961"
,B01ZKD6,CRH PLC,CRH,0.09%,Construction Materials,US,---,"$2,001,984,326.58","21,232,202"
,BZ07BW4,Monster Beverage Corp,MNST,0.09%,Soft Drinks & Non-alcoholic Beverages,US,---,"$1,998,017,726.88","43,510,839"
,BKP7287,Truist Financial Corp,TFC,0.08%,Regional Banks,US,---,"$1,962,306,740.10","39,578,595"
,2654364,Cheniere Energy Inc,LNG,0.08%,Oil & Gas Storage & Transportation,US,---,"$1,943,099,352.18","6,661,522"
,B3NQ4P8,Kinder Morgan Inc,KMI,0.08%,Oil & Gas Storage & Transportation,US,---,"$1,937,971,998.56","60,110,794"
,2130109,ONEOK Inc,OKE,0.08%,Oil & Gas Storage & Transportation,US,---,"$1,922,795,246.31","20,027,031"
,BRC3N84,TE Connectivity PLC,TEL,0.08%,Electronic Manufacturing Services,US,---,"$1,904,183,887.00","9,277,388"
,2795393,Cencora Inc,COR,0.08%,Health Care Distributors,US,---,"$1,900,535,483.60","5,873,101"
,B01Z7J1,Monolithic Power Systems Inc,MPWR,0.08%,Semiconductors,US,---,"$1,880,522,541.87","1,483,331"
,2380863,WW Grainger Inc,GWW,0.08%,Trading Companies & Distributors,US,---,"$1,865,796,708.23","1,424,827"
,2542049,Dominion Energy Inc,D,0.08%,Multi-Utilities,US,---,"$1,844,329,367.51","27,940,151"
,2724193,Realty Income Corp,O,0.08%,Retail REITs,US,---,"$1,815,461,180.16","29,625,672"
,2651086,Nucor Corp,NUE,0.08%,Steel,US,---,"$1,806,619,216.72","7,236,898"
,BK73B42,Corteva Inc,CTVA,0.08%,Fertilizers & Agricultural Chemicals,US,---,"$1,805,354,749.38","21,332,326"
,2332262,Fastenal Co,FAST,0.08%,Trading Companies & Distributors,US,---,"$1,798,768,345.94","36,478,774"
,2480677,Devon Energy Corp,DVN,0.08%,Oil & Gas Exploration & Production,US,---,"$1,777,773,184.11","36,647,561"
,BDD1BB8,Bloom Energy Corp,BE,0.08%,Heavy Electrical Equipment,US,---,"$1,771,571,955.40","8,587,358"
,BQZJ0Q9,Keysight Technologies Inc,KEYS,0.07%,Electronic Equipment & Instruments,US,---,"$1,753,601,818.50","5,434,155"
,BN44JF6,Apollo Global Management Inc,APO,0.07%,Diversified Financial Services,US,---,"$1,751,895,816.72","12,826,884"
,2175672,Cardinal Health Inc,CAH,0.07%,Health Care Distributors,US,---,"$1,745,645,766.82","7,440,311"
,2884183,Teradyne Inc,TER,0.07%,Semiconductor Materials & Equipment,US,---,"$1,740,143,626.65","4,974,255"
,2065159,Autodesk Inc,ADSK,0.07%,Application Software,US,---,"$1,734,557,914.30","6,709,310"
,2615468,Ford Motor Co,F,0.07%,Automobile Manufacturers,US,---,"$1,734,046,742.18","124,393,597"
,2036047,Comfort Systems USA Inc,FIX,0.07%,Construction & Engineering,US,---,"$1,728,132,992.08","1,118,084"
,BNG8Z81,Coherent Corp,COHR,0.07%,Electronic Components,US,---,"$1,727,296,337.34","6,217,098"
,B1FLZ21,Ciena Corp,CIEN,0.07%,Communications Equipment,US,---,"$1,719,937,626.00","4,493,045"
,2089212,AMETEK Inc,AME,0.07%,Electrical Components & Equipment,US,---,"$1,713,340,441.80","7,285,540"
,2138158,Sempra,SRE,0.07%,Multi-Utilities,US,---,"$1,697,343,072.10","20,775,313"
,2026361,Aflac Inc,AFL,0.07%,Life & Health Insurance,US,---,"$1,686,322,215.55","14,556,083"
,2567116,Edwards Lifesciences Corp,EW,0.07%,Health Care Equipment,US,---,"$1,660,577,985.00","18,298,380"
,2573209,MetLife Inc,MET,0.07%,Life & Health Insurance,US,---,"$1,653,917,364.86","17,378,558"
,2087807,Becton Dickinson & Co,BDX,0.07%,Health Care Equipment,US,---,"$1,647,035,855.66","8,755,706"
,2852533,Public Storage,PSA,0.07%,Self-Storage REITs,US,---,"$1,637,002,992.69","5,332,431"
,2317087,Entergy Corp,ETR,0.07%,Electric Utilities,US,---,"$1,612,059,325.60","15,163,760"
,2319157,Vivmark Residential,VMRK,0.07%,Multi-Family Residential REITs,US,---,"$1,601,990,755.88","24,593,042"
,2842040,State Street Corp,STT,0.07%,Asset Management & Custody Banks,US,---,"$1,598,227,776.60","8,351,070"
