Fondsposition per,"17.Sept.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"MT","ARCELORMITTAL SA","Materialien","Aktien","22.533.176,32","0,21","22.533.176,32","343.808,00","65,54","Frankreich","Euronext Amsterdam","EUR"
"ADYEN","ADYEN","Finanzwesen","Aktien","22.316.485,50","0,21","22.316.485,50","24.435,00","913,30","Niederlande","Euronext Amsterdam","EUR"
"ALC","ALCON AG","Gesundheitsversorgung","Aktien","22.309.760,48","0,21","22.309.760,48","394.996,00","56,48","Schweiz","SIX Swiss Exchange","CHF"
"AD","KONINKLIJKE AHOLD DELHAIZE","Nichtzyklische Konsumgüter","Aktien","22.192.166,78","0,21","22.192.166,78","693.722,00","31,99","Niederlande","Euronext Amsterdam","EUR"
"STMMI","STMICROELECTRONICS","IT","Aktien","22.088.657,22","0,21","22.088.657,22","520.284,00","42,45","Frankreich","Borsa Italiana","EUR"
"VWS","VESTAS WIND SYSTEMS","Industrie","Aktien","21.970.898,32","0,21","21.970.898,32","780.977,00","28,13","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SLHN","SWISS LIFE HOLDING AG","Finanzwesen","Aktien","21.835.562,25","0,21","21.835.562,25","22.082,00","988,84","Schweiz","SIX Swiss Exchange","CHF"
"ABN","ABN AMRO BANK NV","Finanzwesen","Aktien","21.338.046,03","0,20","21.338.046,03","489.517,00","43,59","Niederlande","Euronext Amsterdam","EUR"
"GIVN","GIVAUDAN SA","Materialien","Aktien","20.857.429,66","0,20","20.857.429,66","6.035,00","3.456,08","Schweiz","SIX Swiss Exchange","CHF"
"BMPS","BANCA MONTE DEI PASCHI DI SIENA SP","Finanzwesen","Aktien","20.772.589,40","0,20","20.772.589,40","1.738.292,00","11,95","Italien","Borsa Italiana","EUR"
"ERIC B","ERICSSON B","IT","Aktien","20.378.672,17","0,19","20.378.672,17","2.269.306,00","8,98","Schweden","Nasdaq Omx Nordic","SEK"
"UCB","UCB SA","Gesundheitsversorgung","Aktien","20.174.957,60","0,19","20.174.957,60","96.716,00","208,60","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"ADS","ADIDAS N AG","Zyklische Konsumgüter ","Aktien","19.949.100,80","0,19","19.949.100,80","140.092,00","142,40","Deutschland","Xetra","EUR"
"AV.","AVIVA PLC","Finanzwesen","Aktien","19.911.230,52","0,19","19.911.230,52","2.359.216,00","8,44","Vereinigtes Königreich","London Stock Exchange","GBP"
"DNB","DNB BANK","Finanzwesen","Aktien","19.473.057,01","0,19","19.473.057,01","661.297,00","29,45","Norwegen","Oslo Bors Asa","NOK"
"AMS","AMADEUS IT GROUP","Zyklische Konsumgüter ","Aktien","19.065.849,52","0,18","19.065.849,52","341.927,00","55,76","Spanien","Bolsa De Madrid","EUR"
"A5G","AIB GROUP PLC","Finanzwesen","Aktien","18.853.220,09","0,18","18.853.220,09","1.610.698,00","11,71","Irland","Irish Stock Exchange - All Market","EUR"
"SAMPO","SAMPO CLASS A","Finanzwesen","Aktien","18.772.388,58","0,18","18.772.388,58","1.973.548,00","9,51","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Finanzwesen","Aktien","18.692.419,20","0,18","18.692.419,20","678.462,00","27,55","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"FER","FERROVIAL NV","Industrie","Aktien","18.549.110,40","0,18","18.549.110,40","389.360,00","47,64","Spanien","Bolsa De Madrid","EUR"
"DTG","DAIMLER TRUCK HOLDING E AG","Industrie","Aktien","18.425.346,00","0,18","18.425.346,00","416.392,00","44,25","Deutschland","Xetra","EUR"
"PUB","PUBLICIS GROUPE","Kommunikation","Aktien","18.255.841,52","0,17","18.255.841,52","187.201,00","97,52","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ML","MICHELIN","Zyklische Konsumgüter ","Aktien","18.218.424,90","0,17","18.218.424,90","543.185,00","33,54","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"HO","THALES SA","Industrie","Aktien","18.046.220,70","0,17","18.046.220,70","75.729,00","238,30","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"EQT","EQT","Finanzwesen","Aktien","18.002.615,04","0,17","18.002.615,04","667.689,00","26,96","Schweden","Nasdaq Omx Nordic","SEK"
"BPE","BPER BANCA","Finanzwesen","Aktien","17.147.893,16","0,16","17.147.893,16","1.186.377,00","14,45","Italien","Borsa Italiana","EUR"
"IMB","IMPERIAL BRANDS PLC","Nichtzyklische Konsumgüter","Aktien","17.000.012,96","0,16","17.000.012,96","585.883,00","29,02","Vereinigtes Königreich","London Stock Exchange","GBP"
"VIE","VEOLIA ENVIRON. SA","Versorger","Aktien","16.936.772,71","0,16","16.936.772,71","527.461,00","32,11","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SHB A","SVENSKA HANDELSBANKEN-A SHS","Finanzwesen","Aktien","16.602.328,60","0,16","16.602.328,60","1.207.284,00","13,75","Schweden","Nasdaq Omx Nordic","SEK"
"NN","NN GROUP","Finanzwesen","Aktien","16.344.407,40","0,16","16.344.407,40","201.534,00","81,10","Niederlande","Euronext Amsterdam","EUR"
"BMW","BMW","Zyklische Konsumgüter ","Aktien","16.322.329,26","0,16","16.322.329,26","258.183,00","63,22","Deutschland","Xetra","EUR"
"ACA","CREDIT AGRICOLE SA","Finanzwesen","Aktien","16.104.171,71","0,15","16.104.171,71","865.583,00","18,61","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"PKN","ORLEN","Energie","Aktien","16.035.575,62","0,15","16.035.575,62","453.975,00","35,32","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"HEIA","HEINEKEN NV","Nichtzyklische Konsumgüter","Aktien","15.739.875,20","0,15","15.739.875,20","220.570,00","71,36","Niederlande","Euronext Amsterdam","EUR"
"NXT","NEXT PLC","Zyklische Konsumgüter ","Aktien","15.700.791,13","0,15","15.700.791,13","90.523,00","173,45","Vereinigtes Königreich","London Stock Exchange","GBP"
"IHG","INTERCONTINENTAL HOTELS GROUP PLC","Zyklische Konsumgüter ","Aktien","15.658.953,94","0,15","15.658.953,94","117.210,00","133,60","Vereinigtes Königreich","London Stock Exchange","USD"
"KNEBV","KONE","Industrie","Aktien","15.652.086,48","0,15","15.652.086,48","310.188,00","50,46","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"GEBN","GEBERIT AG","Industrie","Aktien","15.622.047,77","0,15","15.622.047,77","27.121,00","576,01","Schweiz","SIX Swiss Exchange","CHF"
"NSIS B","NOVOZYMES B","Materialien","Aktien","15.595.777,93","0,15","15.595.777,93","273.157,00","57,09","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"LDO","LEONARDO FINMECCANICA SPA","Industrie","Aktien","15.584.640,50","0,15","15.584.640,50","307.450,00","50,69","Italien","Borsa Italiana","EUR"
"LGEN","LEGAL AND GENERAL GROUP PLC","Finanzwesen","Aktien","15.383.323,04","0,15","15.383.323,04","4.387.580,00","3,51","Vereinigtes Königreich","London Stock Exchange","GBP"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrie","Aktien","15.096.473,65","0,14","15.096.473,65","161.201,00","93,65","Spanien","Bolsa De Madrid","EUR"
