Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"DPM","DPM METALS","Materials","Equity","86,231,732.02","0.25","86,231,732.02","1,468,274.00","58.73","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AG","FIRST MAJESTIC SILVER","Materials","Equity","84,637,213.32","0.25","84,637,213.32","3,107,093.00","27.24","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FTT","FINNING INTERNATIONAL INC","Industrials","Equity","82,531,267.50","0.24","82,531,267.50","866,470.00","95.25","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GIL","GILDAN ACTIVEWEAR","Consumer Discretionary","Equity","80,337,065.44","0.24","80,337,065.44","1,241,302.00","64.72","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATZ","ARITZIA SUBORDINATE VOTING","Consumer Discretionary","Equity","75,831,465.60","0.22","75,831,465.60","638,312.00","118.80","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"STN","STANTEC","Industrials","Equity","75,733,685.04","0.22","75,733,685.04","765,528.00","98.93","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SSRM","SSR MINING","Materials","Equity","72,748,229.28","0.21","72,748,229.28","1,437,144.00","50.62","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAE","CAE","Industrials","Equity","72,370,364.10","0.21","72,370,364.10","2,134,819.00","33.90","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GMIN","G MINING VENTURES CORP","Materials","Equity","70,280,481.75","0.21","70,280,481.75","1,412,673.00","49.75","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SOBO","SOUTH BOW","Energy","Equity","69,179,560.48","0.20","69,179,560.48","1,381,381.00","50.08","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BTO","B2GOLD","Materials","Equity","66,879,908.30","0.20","66,879,908.30","8,858,266.00","7.55","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EFN","ELEMENT FLEET MANAGEMENT","Industrials","Equity","66,472,786.80","0.20","66,472,786.80","2,637,809.00","25.20","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CPX","CAPITAL POWER CORP","Utilities","Equity","64,877,488.30","0.19","64,877,488.30","1,051,499.00","61.70","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SAP","SAPUTO","Consumer Staples","Equity","64,293,269.04","0.19","64,293,269.04","1,605,726.00","40.04","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OR","OR ROYALTIES INC","Materials","Equity","64,231,002.64","0.19","64,231,002.64","1,240,939.00","51.76","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"QBR.B","QUEBECOR CLASS B","Communication","Equity","63,612,616.65","0.19","63,612,616.65","998,785.00","63.69","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DSG","DESCARTES SYSTEMS GROUP","Information Technology","Equity","63,581,912.59","0.19","63,581,912.59","570,907.00","111.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BEP.UN","BROOKFIELD RENEWABLE PARTNERS NON","Utilities","Equity","62,669,815.20","0.18","62,669,815.20","1,510,480.00","41.49","Bermuda","Toronto Stock Exchange","CAD","1.00","CAD"
"CTC.A","CANADIAN TIRE LTD CLASS A","Consumer Discretionary","Equity","61,728,570.97","0.18","61,728,570.97","326,831.00","188.87","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IVN","IVANHOE MINES CLASS A","Materials","Equity","60,130,106.70","0.18","60,130,106.70","5,006,670.00","12.01","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OGC","OCEANAGOLD CORPORATION CORP","Materials","Equity","60,068,792.56","0.18","60,068,792.56","1,489,432.00","40.33","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LUG","LUNDIN GOLD","Materials","Equity","59,980,361.84","0.18","59,980,361.84","657,103.00","91.28","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CS","CAPSTONE COPPER CORP","Materials","Equity","59,127,158.16","0.17","59,127,158.16","4,158,028.00","14.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NXE","NEXGEN ENERGY","Energy","Equity","57,865,837.05","0.17","57,865,837.05","4,373,835.00","13.23","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PSK","PRAIRIESKY ROYALTY","Energy","Equity","55,201,086.71","0.16","55,201,086.71","1,543,223.00","35.77","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OTEX","OPEN TEXT","Information Technology","Equity","52,946,467.57","0.16","52,946,467.57","1,607,849.00","32.93","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AC","AIR CANADA VOTING AND VARIABLE VOT","Industrials","Equity","51,920,486.40","0.15","51,920,486.40","1,864,960.00","27.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DSV","DISCOVERY MINING LTD","Materials","Equity","51,520,871.10","0.15","51,520,871.10","4,198,930.00","12.27","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FSV","FIRSTSERVICE SUBORDINATE VOTING","Real Estate","Equity","51,037,502.67","0.15","51,037,502.67","275,031.00","185.57","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KNT","K92 MINING","Materials","Equity","47,109,511.26","0.14","47,109,511.26","1,625,587.00","28.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DFY","DEFINITY FINANCIAL","Financials","Equity","46,180,787.87","0.14","46,180,787.87","628,909.00","73.43","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IGM","IGM FINANCIAL INC","Financials","Equity","45,580,597.38","0.13","45,580,597.38","522,294.00","87.27","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MDA","MDA SPACE","Industrials","Equity","45,348,419.26","0.13","45,348,419.26","1,069,286.00","42.41","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CU","CANADIAN UTILITIES LTD CLASS A","Utilities","Equity","43,910,178.12","0.13","43,910,178.12","861,998.00","50.94","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CSH.UN","CHARTWELL RETIREMENT RESIDENCES RE","Health Care","Equity","43,661,767.80","0.13","43,661,767.80","2,150,826.00","20.30","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TVE","TAMARACK VALLEY ENERGY","Energy","Equity","42,778,316.68","0.13","42,778,316.68","3,187,654.00","13.42","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CG","CENTERRA GOLD","Materials","Equity","42,087,758.61","0.12","42,087,758.61","1,322,267.00","31.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ONEX","ONEX","Financials","Equity","41,982,262.25","0.12","41,982,262.25","384,277.00","109.25","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TXG","TOREX GOLD RESOURCES","Materials","Equity","41,674,516.80","0.12","41,674,516.80","609,990.00","68.32","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MAU","MONTAGE GOLD","Materials","Equity","41,523,917.71","0.12","41,523,917.71","2,085,581.00","19.91","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EIF","EXCHANGE INCOME CORP","Industrials","Equity","40,810,932.80","0.12","40,810,932.80","350,008.00","116.60","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EMP.A","EMPIRE CLASS A","Consumer Staples","Equity","40,043,387.15","0.12","40,043,387.15","843,907.00","47.45","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BB","BLACKBERRY","Information Technology","Equity","39,718,338.16","0.12","39,718,338.16","3,571,793.00","11.12","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"REI.UN","RIOCAN REAL ESTATE INVESTMENT TRUS","Real Estate","Equity","39,606,512.20","0.12","39,606,512.20","1,923,580.00","20.59","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WFG","WEST FRASER TIMBER","Materials","Equity","37,824,183.10","0.11","37,824,183.10","371,335.00","101.86","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NPI","NORTHLAND POWER INC","Utilities","Equity","37,711,128.00","0.11","37,711,128.00","1,726,700.00","21.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MX","METHANEX CORP","Materials","Equity","37,491,345.31","0.11","37,491,345.31","439,163.00","85.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CIGI","COLLIERS INTERNATIONAL GROUP SUBOR","Real Estate","Equity","36,625,885.40","0.11","36,625,885.40","294,515.00","124.36","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GEI","GIBSON ENERGY","Energy","Equity","36,593,274.72","0.11","36,593,274.72","1,145,688.00","31.94","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ARIS","ARIS MINING","Materials","Equity","36,364,943.00","0.11","36,364,943.00","1,372,262.00","26.50","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SKE","SKEENA RESOURCES","Materials","Equity","35,490,220.20","0.10","35,490,220.20","810,279.00","43.80","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AYA","AYA GOLD & SILVER INC","Materials","Equity","35,403,507.11","0.10","35,403,507.11","878,281.00","40.31","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ACO.X","ATCO CLASS I","Utilities","Equity","35,196,707.56","0.10","35,196,707.56","480,698.00","73.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AQN","ALGONQUIN POWER UTILITIES","Utilities","Equity","34,991,699.86","0.10","34,991,699.86","4,640,809.00","7.54","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WDO","WESDOME GOLD MINES LTD","Materials","Equity","34,271,815.44","0.10","34,271,815.44","985,672.00","34.77","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATH","ATHABASCA OIL","Energy","Equity","33,814,130.92","0.10","33,814,130.92","3,214,271.00","10.52","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FVI","FORTUNA MINING CORP","Materials","Equity","33,650,738.88","0.10","33,650,738.88","2,012,604.00","16.72","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GRT.UN","GRANITE REAL ESTATE INVESTMENT STA","Real Estate","Equity","33,538,841.10","0.10","33,538,841.10","400,703.00","83.70","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PEY","PEYTO EXPLORATION & DEVELOPMENT","Energy","Equity","32,841,830.64","0.10","32,841,830.64","1,354,861.00","24.24","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KXS","KINAXIS INC","Information Technology","Equity","32,424,047.76","0.10","32,424,047.76","180,344.00","179.79","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TA","TRANSALTA CORP","Utilities","Equity","32,396,205.74","0.10","32,396,205.74","1,885,693.00","17.18","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
